"","user_id","session_id","test_id","ratio","time_total","time_mean","time_sd","time_median","time_trimmed","time_mad","time_min","time_max","time_range","time_skew","time_kurtosis","time_se","time_Q0.25","time_Q0.75","time_trend","fitts_a","fitts_b","distance_total","distance_mean","distance_sd","distance_median","distance_trimmed","distance_mad","distance_min","distance_max","distance_range","distance_skew","distance_kurtosis","distance_se","distance_Q0.25","distance_Q0.75","distance_trend","pause_total","pause_number","pause_mean","pause_sd","pause_median","pause_trimmed","pause_mad","pause_min","pause_max","pause_range","pause_skew","pause_kurtosis","pause_se","pause_Q0.25","pause_Q0.75","pause_trend","stops","velocity_mean","velocity_sd","velocity_mad","velocity_min","velocity_max","velocity_range","velocity_skew","velocity_kurtosis","velocity_se","velocity_Q0.25","velocity_Q0.75","velocity_trend","acc_n","acc_mean","acc_sd","acc_median","acc_trimmed","acc_mad","acc_min","acc_max","acc_range","acc_skew","acc_kurtosis","acc_se","acc_Q0.25","acc_Q0.75","jerk_line","n_jerk","dec_n","dec_mean","dec_sd","dec_median","dec_trimmed","dec_mad","dec_min","dec_max","dec_range","dec_skew","dec_kurtosis","dec_se","dec_Q0.25","dec_Q0.75","braking_line","n_braking","acc_per_sec_mean","acc_per_sec_sd","acc_per_sec_median","acc_per_sec_trimmed","acc_per_sec_mad","acc_per_sec_min","acc_per_sec_max","acc_per_sec_range","acc_per_sec_skew","acc_per_sec_kurtosis","acc_per_sec_se","acc_per_sec_Q0.25","acc_per_sec_Q0.75","acc_per_sec_max_pos","acc_per_sec_min_pos","missings_distance","missings_mean","missings_sd","missings_median","missings_trimmed","missings_mad","missings_min","missings_max","missings_range","missings_skew","missings_kurtosis","missings_se","missings_Q0.25","missings_Q0.75","missings","hits","missings_trend","accuracy_rate","combo_hits","combo_missings","clicked_through_targets","combo_clicked_through_targets","corr_sat"
"(Intercept)",517,"GkFVt4r0IKosYUHVMSLfxuLIN5",66,"1",77.31,0.61,0.11,0.58,0.59,0.07,0.45,1.2,0.75,1.99,6.47,0.01,0.54,0.65,-1.41,1.13741781506348,-0.194749398330886,56835.71,447.53,95.49,440.65,446.12,120.79,288.07,699.74,411.67,0.16,-0.9,8.47,370.19,528.66,2.58,4664,117,39.86,42.78,24,31.17,19.27,5,250,245,3.05,10.37,3.95,16,47,-0.35,1,730.09,315.07,326.34,175.89,1728.36,1552.47,0.3,-0.29,27.96,700.07,1136.61,6.24,781,35.66,431.01,8.8,12.72,10.15,0,12028.79,12028.79,27.59,764.57,15.42,3.4,21.52,236.63,75,781,-15.31,55.4,-8.18,-9.41,7.51,-1142.86,-0.1,1142.76,-15.73,278.84,1.98,-14.71,-3.86,-182.71,53,20.04,5.65,20,19.97,5.93,8,34,26,0.08,-0.4,0.64,16,23.75,71,36,2149.75,16.79,9.68,15.84,16.14,9.82,2,47.01,45.01,0.65,0.18,0.86,9.38,22.49,5,123,0.12,56.27,65,1,0,0,0.354
"(Intercept)1",979,"jqdNFaevpFPxyLt4tI9N6CALyI",66,"0.8500000238418579",99.8,0.79,0.22,0.74,0.74,0.12,0.54,1.77,1.23,2.19,5.12,0.02,0.65,0.81,-3.68,2.19938903224614,-0.520724735147754,59128.71,465.58,105.4,460.4,461.96,111.19,276.61,833.2,556.59,0.45,0.28,9.35,395.1,535.42,2.63,3522,101,34.87,34.8,22,27.88,11.86,6,228,222,2.72,9.49,3.46,15,39,-0.66,32,604.22,227.14,253.48,180.33,1251.41,1071.08,-0.12,-0.5,20.16,565.42,893.82,5.32,1176,19.42,26.41,11.4,14.59,11.78,0,470.59,470.59,6.1,77.96,0.77,4.88,24.48,162.6,80,1176,-19.36,57.84,-10.2,-13.06,11.33,-1715.94,0,1715.94,-22.91,640.44,1.69,-22.49,-3.83,-212.11,74,23.53,5.74,24,23.84,4.45,4,37,33,-0.71,1.44,0.57,21,27,61,1,1428.92,11.16,6.9,10.02,10.49,5.49,0,46.27,46.27,1.49,4.24,0.61,6.38,13.93,1,127,0.1,70.79,127,1,0,0,0.51
"(Intercept)2",980,"CZ4lY7vbqRKPdRg09U5GncX8ob",66,"0.5",64.81,0.51,0.09,0.5,0.51,0.06,0.23,0.77,0.54,0.44,1.31,0.01,0.46,0.55,0.36,0.39593562359294,0.0421323594667485,59461.15,468.2,121.61,481.08,465.85,133.84,149.7,771.67,621.97,0.14,-0.42,10.79,379.4,546.7,2.74,2733,121,22.59,18.31,16,18.79,8.9,6,104,98,2.23,5.24,1.66,12,23,-0.08,23,890.23,352.05,253.2,0,2566.56,2566.56,0.24,3.68,31.24,844.78,1193.76,3.41,633,48.11,484.05,17.07,21.11,16.69,0,12134.03,12134.03,24.61,611,19.24,7.36,33.37,246.23,50,633,-24.69,58.37,-13.62,-15.95,13.19,-983.45,-0.07,983.38,-10.65,145.79,2.32,-24.88,-5.8,-270.03,45,19.49,5.67,20,20,4.45,0,31,31,-1.41,3.42,0.7,17,22,55,33,3970.23,31.02,36.59,25.56,26.83,13.36,2,399.06,397.06,8.12,77.56,3.23,18.44,36.13,27,101,-0.01,32.62,15,3,2,1,0.061
"(Intercept)3",981,"hJa1hWr25s3MBNbtDg4OM7FzlT",66,"1",73.57,0.58,0.1,0.57,0.57,0.07,0.4,0.96,0.56,1.16,2.12,0.01,0.52,0.62,0.81,0.28472603345685,0.108509581352718,62573.39,492.7,119.01,500.23,490.2,138.18,277.26,852.64,575.37,0.18,-0.38,10.56,382,582.34,2.87,7003,127,55.14,37.15,48,50.6,25.2,4,254,250,1.87,5.97,3.3,31,65.5,-0.21,12,861.68,389.56,337.26,660.65,2805.87,2145.22,1.21,2.03,34.57,1009.32,1463.21,5.17,2265,107.34,155.52,62.6,79.62,64.62,0,3875,3875,8.94,171.81,3.27,27.59,132.16,1116.28,177,2265,-96.87,107.34,-63.87,-77.15,65.05,-1077.23,-0.22,1077.01,-2.63,10.63,2.26,-124,-27.78,-795.92,154,61.23,12.51,62.5,61.45,14.08,25,86,61,-0.26,-0.36,1.45,52,71,67,73,2307.72,18.03,8.78,16.28,17.63,9.31,1,46.04,45.04,0.48,-0.23,0.78,11.92,24.11,2,126,0.05,52.77,72,1,0,0,0.165
"(Intercept)4",983,"lPAVlt7rVV7IYYQpFrRn5exYNc",66,"1.25",152.28,1.2,0.19,1.19,1.2,0.17,0.78,1.71,0.94,0.19,-0.21,0.02,1.07,1.31,0.26,1.07747456725984,0.0447880558425956,72503.72,570.9,181.48,536.44,553.15,165.47,303.28,1230.24,926.96,1.11,1.63,16.1,443.04,677.9,3.93,9452,129,73.27,38.93,67,69.48,32.62,12,202,190,0.97,0.72,3.43,48,93,-0.11,23,479.53,215.55,177.5,250.39,1285.88,1035.49,0.93,0.64,19.13,463.1,728.52,4.07,1471,21.38,33.74,9.36,14.37,11.59,0,489.08,489.08,4.61,37.6,0.88,3.1,26.4,233.46,111,1471,-19.19,31.45,-6.49,-12.04,8.8,-302.83,-0.01,302.82,-3.34,15.17,0.82,-22.72,-1.6,-211.71,145,19.24,4.58,19,19.19,4.45,4,32,28,0.02,0.41,0.37,16,22,69,152,721.24,5.63,2.71,5.05,5.44,2.46,1,14.14,13.14,0.66,0.02,0.24,3.61,7.07,0,128,0.01,85.17,128,0,0,0,0.118
"(Intercept)5",984,"YyORf7IAGIDC99PuGoI1cqr1bR",66,"1.5789473684210527",216.85,1.71,2.24,1.87,1.4,2.22,0,19.39,19.39,4.38,29.54,0.2,0.31,2.51,-28.49,11.6379331667049,-3.65818307653633,26966.18,212.33,212.01,293.74,197.59,382.12,0,695.44,695.44,0.2,-1.55,18.81,0,392.32,-4.02,66594,561,118.71,415.42,18,40.55,11.86,5,7705,7700,12.31,204.02,17.54,16,38,0.23,572,139.8,168.48,177.96,0,666.44,666.44,0.61,-0.63,14.95,0,299.53,-2.9,1145,26.16,84.8,3.46,5.8,3.97,0,778.88,778.88,5.17,29.69,2.51,1.37,8.66,639.72,164,1145,-12.33,27.18,-3.68,-5.02,3.87,-180.76,0,180.76,-3.64,13.8,0.8,-7.58,-1.47,-165.86,151,10.56,10.4,8,9.25,11.86,0,40,40,0.8,-0.42,0.71,0,16,32,15,23596.75,184.35,220.32,28.84,159.93,41.27,0,625.08,625.08,0.68,-1.21,19.47,2.83,399.72,62,66,4.34,44.37,29,34,60,34,-0.681
"(Intercept)6",1001,"9p6LHbvEdvOB9Ypd1ebcSv5dpw",66,"1.25",80.92,0.64,0.08,0.63,0.64,0.08,0.47,0.86,0.39,0.02,-0.61,0.01,0.58,0.7,-0.71,0.883553087286939,-0.0907589424597819,58460.52,460.32,108.89,460.84,459.81,118.91,253.76,747.14,493.38,0.13,-0.69,9.66,383.3,555.75,2.62,6395,100,63.95,92.55,43,47.92,32.62,2,652,650,5.01,28.2,9.25,26,70.75,-0.48,14,685.47,411.65,332.95,0,1757.99,1757.99,-0.28,-0.01,36.53,691.72,1142.83,5.35,469,20.75,39.69,10.7,14.08,11.09,0,496.06,496.06,7.58,73.69,1.83,4.7,23.37,240,34,469,-12.63,15.05,-7.66,-9.73,8.12,-113.57,-0.01,113.55,-2.76,11.15,0.69,-15.87,-3.03,-80.71,36,11.59,5.01,11,11.82,4.45,0,24,24,-0.27,0.19,0.56,9,14,56,20,2432.08,19,10.3,18.07,18.38,9.43,1,68.88,67.88,1.09,3.1,0.91,12.07,25.03,3,125,-0.01,50.92,87,1,0,0,-0.063
"(Intercept)7",1009,"njIYSw3G1jsxkvIfIgjy8GBOfI",66,"1.5",119.61,0.94,0.17,0.92,0.93,0.18,0.57,1.44,0.87,0.53,-0.15,0.02,0.82,1.06,-1.67,1.49608195694001,-0.20417459333891,68231.43,537.26,143.54,532.39,527.88,146.88,313.56,973.2,659.64,0.52,-0.11,12.74,433.24,624.67,3.26,10687,133,80.35,52.92,69,74.35,34.1,1,284,283,1.33,2.17,4.59,47,100,-0.35,42,580.5,264.13,202.52,282.04,1377.92,1095.88,0.74,-0.34,23.44,549.6,885.13,5.52,2836,38.5,78.42,20.34,25.12,20.9,-6.45,1410.58,1417.02,8.31,94.59,1.47,8.97,40.65,992,219,2836,-31.09,39.22,-21.59,-23.87,22.12,-615.67,-0.08,615.59,-4.18,31.72,0.74,-38.73,-7.22,-313.9,167,47.27,10.04,47,46.89,10.38,22,77,55,0.27,0.1,0.92,40,53.25,17,36,495.14,3.87,2.39,3.16,3.59,2.59,0,12.21,12.21,1.05,1.03,0.21,2.24,5.1,0,128,0.01,89.82,128,0,0,0,0.238
"(Intercept)8",1010,"a51sOinpNQysV84kZ5s5JCnWvc",66,"1.25",530.87,4.18,1.55,3.8,3.95,1.2,2.23,11.72,9.48,1.77,4.37,0.14,3.09,4.64,-2.2,4.93346321940043,-0.277527290076862,62961.88,495.76,108.2,497.15,495.53,122.88,287.67,810.36,522.69,0.07,-0.64,9.6,409.15,572.4,2.69,64299,123,522.76,462.55,422,428.07,83.03,6,3805,3799,4.57,23.9,41.71,370,486,-0.64,3,119.01,126.32,139.57,5.79,640.35,634.56,0.52,-0.31,11.21,138.26,336.77,1.42,1281,29.52,374.37,2.84,7.63,3.52,0,13297.15,13297.15,34.76,1228.45,10.46,0.92,11.2,492.51,211,1281,-7.23,18.41,-1.39,-3.11,1.95,-260.09,0,260.09,-6.33,58.08,0.51,-6.06,-0.25,-152.33,152,4.83,4.77,4,4.12,4.45,0,26,26,1.36,2.06,0.21,1,7.5,283,2,345.35,2.7,1.27,2.83,2.68,1.23,0,6.71,6.71,0.19,-0.11,0.11,2,3.61,0,128,0,92.9,128,0,0,0,-0.096
"(Intercept)9",1020,"5SLfW5idV2oXXg1tX4uywgOydH",66,"1.25",313.49,2.47,0.94,2.24,2.33,0.64,0.07,6.56,6.48,1.88,5.37,0.08,1.88,2.85,-2.06,3.13478089861715,-0.24547037754934,64958.15,511.48,136.91,508.11,508.22,135.53,0,898.55,898.55,0.06,1.03,12.15,416.03,593.95,3.03,32823,109,301.13,238.96,250,261.37,131.95,6,1846,1840,3.65,17.86,22.89,172,346,-1.06,14,208.73,160.67,166.23,0,729.72,729.72,0.46,-0.25,14.26,164.1,386.55,1.37,999,9.53,28.68,1.34,3.07,1.7,0,350.74,350.74,6.45,54.65,0.91,0.47,4.85,228.76,154,999,-4.56,11.02,-1.03,-2.18,1.32,-150.59,0,150.59,-6.26,56.14,0.35,-3.55,-0.26,-81.36,153,6.37,4.41,6,6.16,4.45,0,20,20,0.36,-0.5,0.25,3,9.75,309,16,1100.75,8.6,36.26,4.12,4.1,1.45,0,325,325,7.83,60.71,3.2,3,5.1,2,126,-0.2,87.86,126,2,2,2,-0.216
