"","user_id","session_id","test_id","ratio","time_total","time_mean","time_sd","time_median","time_trimmed","time_mad","time_min","time_max","time_range","time_skew","time_kurtosis","time_se","time_Q0.25","time_Q0.75","time_trend","fitts_a","fitts_b","distance_total","distance_mean","distance_sd","distance_median","distance_trimmed","distance_mad","distance_min","distance_max","distance_range","distance_skew","distance_kurtosis","distance_se","distance_Q0.25","distance_Q0.75","distance_trend","pause_total","pause_number","pause_mean","pause_sd","pause_median","pause_trimmed","pause_mad","pause_min","pause_max","pause_range","pause_skew","pause_kurtosis","pause_se","pause_Q0.25","pause_Q0.75","pause_trend","stops","velocity_mean","velocity_sd","velocity_mad","velocity_min","velocity_max","velocity_range","velocity_skew","velocity_kurtosis","velocity_se","velocity_Q0.25","velocity_Q0.75","velocity_trend","acc_n","acc_mean","acc_sd","acc_median","acc_trimmed","acc_mad","acc_min","acc_max","acc_range","acc_skew","acc_kurtosis","acc_se","acc_Q0.25","acc_Q0.75","jerk_line","n_jerk","dec_n","dec_mean","dec_sd","dec_median","dec_trimmed","dec_mad","dec_min","dec_max","dec_range","dec_skew","dec_kurtosis","dec_se","dec_Q0.25","dec_Q0.75","braking_line","n_braking","acc_per_sec_mean","acc_per_sec_sd","acc_per_sec_median","acc_per_sec_trimmed","acc_per_sec_mad","acc_per_sec_min","acc_per_sec_max","acc_per_sec_range","acc_per_sec_skew","acc_per_sec_kurtosis","acc_per_sec_se","acc_per_sec_Q0.25","acc_per_sec_Q0.75","acc_per_sec_max_pos","acc_per_sec_min_pos","missings_distance","missings_mean","missings_sd","missings_median","missings_trimmed","missings_mad","missings_min","missings_max","missings_range","missings_skew","missings_kurtosis","missings_se","missings_Q0.25","missings_Q0.75","missings","hits","missings_trend","accuracy_rate","combo_hits","combo_missings","clicked_through_targets","combo_clicked_through_targets","corr_sat"
"(Intercept)",517,"GkFVt4r0IKosYUHVMSLfxuLIN5",66,"1",44.97,0.35,0.08,0.34,0.34,0.03,0.12,0.8,0.68,3.05,15.27,0.01,0.32,0.38,0.7,0.102522650672499,0.09267157260308,56125.76,441.94,138.45,444.74,432.19,119.42,25.44,1367.57,1342.13,2.37,14.66,12.29,350.2,509.87,2.63,2823,115,24.55,39.12,16,18.2,8.9,5,376,371,6.93,55.76,3.65,11,23,-0.15,1,1236.36,697.77,568.1,0,3916.03,3916.03,0.42,0.82,61.92,1185.26,1953.19,7.31,270,97.35,447.64,32,41.89,35.77,0,6912.96,6912.96,13.42,197.26,27.24,10.54,68.21,812.5,29,270,-36.06,92.52,-20.05,-22.47,16.36,-1178.03,-0.14,1177.89,-9.63,105.1,5.63,-34.01,-10.65,-209.24,21,12.02,4.54,12,11.73,4.45,5,25,20,0.64,0.41,0.68,8,15,22,3,5846.64,45.68,54.81,35.85,38.01,22.03,4.12,513.48,509.35,6.23,46.18,4.84,22.91,52.17,58,70,0.14,20.24,7,4,2,1,-0.096
"(Intercept)1",979,"jqdNFaevpFPxyLt4tI9N6CALyI",66,"0.8500000238418579",63.04,0.5,0.08,0.49,0.49,0.08,0.36,0.72,0.36,0.45,-0.18,0.01,0.44,0.55,0.57,0.289355049325017,0.0762518564629473,58152.4,457.89,117.08,445.19,448.56,117.1,253.91,880.66,626.75,0.8,0.81,10.39,369.25,529.01,2.81,1821,85,21.42,17.51,16,18.36,8.9,1,119,118,2.94,11.35,1.9,12,23,-0.05,28,936.17,216.41,199.91,543.56,1712.12,1168.56,0.74,0.5,19.2,833.57,1112.55,4.22,762,41.47,153.04,18.52,24.22,19.01,0,2901.96,2901.96,14.59,235.18,5.54,8.17,40.52,468.75,57,762,-28.5,36.24,-16.31,-21.57,18.01,-354.34,-0.11,354.22,-3.49,18.5,1.31,-37.06,-6.61,-237.42,47,23.83,4.92,24,23.98,4.45,1,35,34,-1.3,5.43,0.61,21,27,3,63,3172.42,24.78,12.86,21.93,23.88,11.84,0,61.55,61.55,0.67,-0.04,1.14,15.47,32.22,22,106,0.12,38.6,40,4,0,0,0.108
"(Intercept)2",980,"CZ4lY7vbqRKPdRg09U5GncX8ob",66,"0.5",53.1,0.42,0.11,0.41,0.41,0.13,0.22,0.76,0.54,0.46,-0.33,0.01,0.33,0.5,0.97,0.103412535899255,0.115917286354757,57389.63,451.89,119.91,437.43,447.05,133.91,208.77,807.6,598.83,0.43,-0.4,10.64,351.33,534.68,2.6,1956,115,17.01,10.13,16,15.74,7.41,6,92,86,4.01,24.96,0.95,11,20,0.01,17,1029.86,387.44,262.6,0,2164.8,2164.8,-0.58,1.93,34.38,917.84,1264.24,3.25,507,82.37,865.65,20.8,28.58,20.57,0,19425.4,19425.4,22.02,488.74,38.44,9.13,46.36,583,45,507,-45.28,132.53,-15.94,-20.36,15.31,-1400,-0.08,1399.92,-6.78,51.72,5.89,-32.66,-7.53,-1053.8,50,18.8,6.4,20,19.43,5.19,0,34,34,-1.02,1.92,0.87,16,23,33,27,5961.32,46.57,30.55,41.3,42.45,25.37,4.12,172.28,168.16,1.68,3.67,2.7,25.07,60.1,68,60,-0.07,17.63,12,7,0,0,0.056
"(Intercept)3",981,"hJa1hWr25s3MBNbtDg4OM7FzlT",66,"1",66.55,0.52,0.1,0.52,0.52,0.09,0.32,0.89,0.56,0.79,1.41,0.01,0.45,0.57,0.7,0.28417461072267,0.088358898686615,63581.14,500.64,123.2,502.69,496.05,140.05,276.68,901.88,625.2,0.38,-0.25,10.93,396.48,591.84,2.83,3054,121,25.24,22.76,19,21.61,13.34,4,193,189,3.84,23.11,2.07,12,30,-0.07,18,961.94,444.57,373.23,596.01,3193.02,2597.01,1.52,3.64,39.45,1031.76,1514.14,3.53,2167,109.74,143.87,64.35,83.4,67.51,0,2764.3,2764.3,5.57,70.55,3.09,27.74,138.88,990.94,162,2167,-98,114.24,-58.1,-75.77,61.82,-962.46,-0.1,962.36,-2.44,8.24,2.45,-128.64,-25.17,-784.57,154,64.7,12.78,66,64.85,13.34,35,99,64,-0.11,-0.1,1.56,56,73.5,58,35,2314.98,18.09,11.07,16.14,16.92,10.61,2.83,63.78,60.95,1.07,1.51,0.98,9.42,23.72,8,120,0.03,53.57,50,2,0,0,0.122
"(Intercept)4",983,"lPAVlt7rVV7IYYQpFrRn5exYNc",66,"1.25",100.19,0.79,0.2,0.76,0.77,0.13,0.37,2.12,1.74,2.63,14.61,0.02,0.69,0.87,1.45,0.229618660648485,0.206039769784328,73532.25,578.99,305.05,543.15,542.73,169.34,287.38,3413.01,3125.63,6.4,55.98,27.07,428.81,652.76,3.75,6306,133,47.41,30.52,45,44.43,31.13,7,156,149,0.86,0.41,2.65,22,64,0.18,58,748.75,256.38,274,514.66,1708.57,1193.91,0.74,0.08,22.75,660.73,1057.18,4.52,1058,26.44,38.45,13.19,18.38,15.31,0,356.67,356.67,3.5,16.94,1.18,4.75,33.28,281.99,82,1058,-26.79,47.03,-10.4,-16.39,12.9,-482.06,-0.06,481.99,-4.27,25.06,1.45,-30.09,-3.31,-337.2,102,20.96,4.51,21,21.2,4.45,5,33,28,-0.52,0.86,0.45,18,24,83,100,1330.6,10.4,6.31,9.22,9.76,5.49,1,39.81,38.81,1.36,3.28,0.56,6.32,13.42,1,127,-0.01,72.68,113,1,0,0,-0.031
"(Intercept)5",984,"YyORf7IAGIDC99PuGoI1cqr1bR",66,"1.5789473684210527",37.54,0.3,0.42,0.17,0.2,0.19,0,2.53,2.52,3.24,11.71,0.04,0.14,0.34,-2.53,1.25583434992002,-0.353739189709717,5708.8,44.95,191.23,0,0.31,0,0,1550.9,1550.9,5.41,33.48,16.97,0,0,-0.39,24822,44,564.14,1967.94,18,153.89,14.08,1,12652,12651,5.32,29.45,296.68,14.75,198.25,-18.63,34,196.01,190.53,0,0,1291.83,1291.83,4.35,20.52,16.91,0,0,-0.31,103,34.05,96.5,7.22,12.13,9.23,0,586.92,586.92,4.51,20.42,9.51,3.38,20.43,315.96,11,103,-12.95,26.23,-4.03,-6.66,5.25,-193.86,0,193.85,-4.12,21.52,2.58,-12.12,-0.88,-85.75,12,5.45,6.73,2,4.72,2.97,0,21,21,0.8,-0.95,1.09,0,11.75,21,6,36000.91,281.26,156.21,296.61,282.91,173.12,5.83,562.23,556.4,-0.08,-1.04,13.81,152.24,400.27,119,9,1.64,5.2,6,63,119,63,-0.418
"(Intercept)6",1001,"9p6LHbvEdvOB9Ypd1ebcSv5dpw",66,"1.25",62.55,0.49,0.08,0.49,0.49,0.07,0.35,0.78,0.43,0.77,1.04,0.01,0.44,0.53,0.93,0.169823653942991,0.118886930576109,58289.52,458.97,114.94,446.27,452.3,123.72,248.97,809.28,560.31,0.49,-0.24,10.2,370.56,536.59,2.63,3603,101,35.67,67.12,18,24.38,14.83,1,514,513,5.79,35.87,6.68,13,42,-0.15,27,857.92,458.49,290.56,0,1863.84,1863.84,-0.84,0.27,40.68,866.33,1259.29,3.16,394,34.03,104.22,13.95,18.98,15.42,-16.93,1407.88,1424.81,9.74,107.29,5.25,5.98,35.21,492.78,20,394,-22.47,79.04,-11.16,-13.94,11.9,-1414.21,-0.21,1414,-14.81,247,3.98,-23.65,-4.1,-222.22,19,12.52,5.65,13,12.88,4.45,0,25,25,-0.56,0.03,0.71,10,16,8,19,3447.26,26.93,14.44,25.48,25.68,13.63,1.41,70.33,68.91,0.73,0.25,1.28,16.28,34.71,27,101,0,34.88,18,3,0,0,-0.065
"(Intercept)7",1009,"njIYSw3G1jsxkvIfIgjy8GBOfI",66,"1.5",65.06,0.51,0.09,0.5,0.51,0.08,0.29,0.79,0.5,0.37,0.29,0.01,0.46,0.56,0.85,0.221332541741035,0.10719551274531,66242.98,521.6,157.23,504.66,505.29,118.71,271.4,1206.61,935.21,1.52,4.07,13.95,426.17,589.48,3.13,4331,149,29.07,44.94,9,18.81,7.41,1,267,266,2.95,9.72,3.68,6,34,0.02,109,1064.32,335.05,250.23,0,2020.69,2020.69,-0.21,1.38,29.73,965.81,1294.98,3.98,1950,43.59,67.61,25.73,29.88,27.85,0,800,800,4.62,30.71,1.53,10.61,51.99,560,135,1950,-40.81,48.09,-27.78,-31.52,24.93,-423.71,-0.39,423.33,-3.53,17.63,1.09,-50.79,-13.26,-402.59,137,59.11,14.25,61.5,59.91,13.34,6,92,86,-0.9,2.12,1.75,51,69,18,65,2060.86,16.1,11.68,13.82,14.67,7.84,1,95.19,94.19,2.89,15.2,1.03,9.16,19.43,5,123,-0.01,59.37,77,2,0,0,0.156
"(Intercept)8",1010,"a51sOinpNQysV84kZ5s5JCnWvc",66,"1.25",264.06,2.08,0.7,1.88,1.98,0.41,0.45,5.76,5.31,1.89,5.61,0.06,1.67,2.28,-0.56,2.34354394604541,-0.0973632413074028,64734.56,509.72,175.78,488.18,491.96,150.61,0,1316.92,1316.92,1.37,4.1,15.6,390.76,596.99,3.42,27082,127,213.24,109.8,204,201.21,91.92,8,655,647,1.63,4.4,9.74,140.5,255.5,-0.47,8,246.47,170.98,178.67,0,1082.52,1082.52,0.56,1,15.17,289.65,504.06,2.59,931,16.89,50.38,2.64,5.9,2.92,0,541.93,541.93,6.25,47.22,1.65,1.09,7.79,384.57,160,931,-4.46,6.72,-1.86,-3.09,2.48,-66.36,0,66.36,-3.53,19.53,0.22,-6.05,-0.44,-45.65,61,7.03,3.93,6,6.79,2.97,0,20,20,0.59,0.04,0.24,4,10,185,30,752.21,5.88,29.65,2.91,3.15,1.88,0,338.07,338.07,10.99,120.09,2.62,2,4.47,1,127,-0.05,90.7,99,1,1,1,-0.197
"(Intercept)9",1020,"5SLfW5idV2oXXg1tX4uywgOydH",66,"1.25",178,1.4,0.36,1.32,1.35,0.24,0.9,3.2,2.3,2.19,6.63,0.03,1.17,1.49,1.17,0.998839751907542,0.148360242149214,62921.75,495.45,117.99,490.41,491.3,118.51,284.8,870.54,585.74,0.39,0.02,10.47,412.18,570.66,2.54,18797,101,186.11,202.64,122,137.06,65.23,18,1357,1339,3.38,12.93,20.16,88,184,-0.62,3,345.42,215.06,184.3,0,1077.11,1077.11,-0.16,-0.05,19.08,330.36,570.48,1.51,656,14.15,45.39,2.01,5.31,2.64,0,743.95,743.95,9.38,120.38,1.77,0.81,7.97,283.87,101,656,-6.54,11.41,-1.77,-4.02,2.36,-123.93,0,123.93,-4.02,25.29,0.45,-7.81,-0.66,-66.72,67,7.34,3.94,7,7.2,2.97,0,24,24,0.67,1.49,0.29,5,10,6,12,764.02,5.97,3.4,5.39,5.73,3.3,1,18.03,17.03,0.74,0.29,0.3,3.16,7.92,0,128,-0.01,84.29,128,0,0,0,0.262
